linegroup,inhibitor,inhibitor_conc
nccr_mwf_phenotyping_An_101_C2,None,0
nccr_mwf_phenotyping_An_101_C3,None,0
nccr_mwf_phenotyping_An_101_C7,None,0
nccr_mwf_phenotyping_An_101_C8,None,0
nccr_mwf_phenotyping_An_101_C9,None,0
nccr_mwf_phenotyping_An_101_D4,None,0
nccr_mwf_phenotyping_An_101_D5,None,0
nccr_mwf_phenotyping_An_101_D6,None,0
nccr_mwf_phenotyping_An_101_G4,None,0
nccr_mwf_phenotyping_An_101_G5,None,0
nccr_mwf_phenotyping_An_101_G6,None,0
nccr_mwf_phenotyping_An_101_H7,None,0
nccr_mwf_phenotyping_An_101_H8,None,0
nccr_mwf_phenotyping_An_101_H9,None,0
nccr_mwf_phenotyping_An_101_C4,None,0
nccr_mwf_phenotyping_An_101_C5,None,0
nccr_mwf_phenotyping_An_101_C6,None,0
nccr_mwf_phenotyping_An_101_F1,None,0
nccr_mwf_phenotyping_An_101_F2,None,0
nccr_mwf_phenotyping_An_101_F3,None,0
nccr_mwf_phenotyping_An_101_A1,None,0
nccr_mwf_phenotyping_An_101_A2,None,0
nccr_mwf_phenotyping_An_101_A3,None,0
